id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_range,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6774,Room for rent in Sheepshead bay,24950473,Dasha,Brooklyn,Sheepshead Bay,40.58414,-73.95489,Private room,,50,2,0,,,1,0
6775,Huge Loft In heart of Bushwick,21209568,Greg,Brooklyn,Bushwick,40.70516,-73.91946,Entire home/apt,,88,7,2,9/27/2015,0.04,1,0
6776,Cozy Quiet Apt 10min to Manhattan,2464823,Andy,Queens,Astoria,40.7643,-73.92637,Entire home/apt,,112,7,5,10/4/2016,0.1,1,0
6777,1 Bedroom in Bushwick APT,22219331,Sam,Brooklyn,Bushwick,40.70141,-73.91782,Private room,,65,1,0,,,1,0
6778,Charming apt in beautiful Brooklyn!,24967136,Paul,Brooklyn,Bedford-Stuyvesant,40.6804,-73.93183,Entire home/apt,,105,7,53,10/28/2018,1.12,2,77
6779,Currently Not Avail,23621417,Agel,Brooklyn,Williamsburg,40.70969,-73.94925,Entire home/apt,,120,1,0,,,1,0
6780,2 Bedroom midcentury Brooklyn Brownstone apartment,414477,Ajay,Brooklyn,Crown Heights,40.6776,-73.94918,Entire home/apt,,70,2,15,3/24/2019,0.27,1,18
6781,Comfortable Room in Great Location,24880134,Cam,Brooklyn,Prospect Heights,40.67935,-73.96912,Private room,,75,3,1,9/15/2018,0.1,3,0
6782,Modern & luxurious close to trains,6162041,Nick,Queens,Ozone Park,40.68559,-73.8496,Entire home/apt,,99,2,129,6/30/2019,2.33,1,344
6783,Amazing Brooklyn Heights 2BR+patio,11064999,Andrei,Brooklyn,Brooklyn Heights,40.69454,-73.99547,Entire home/apt,,275,5,0,,,1,0
6784,Apartment Downtown New York ,24973819,Wen,Manhattan,Stuyvesant Town,40.73001,-73.97579,Private room,,600,1,0,,,1,0
6785,Cozy UWS room with amazing Hudson view,12220,Corina E.,Manhattan,Upper West Side,40.77904,-73.98899,Private room,,90,1,24,5/18/2019,0.46,3,341
6786,Cozy Spacious Apartment,24448659,Christian,Brooklyn,Midwood,40.62971,-73.95069,Entire home/apt,,60,3,1,1/2/2015,0.02,1,0
6787,"Brooklyn luxury bldg, with rooftop and balcony!",2306320,Michelle,Brooklyn,Crown Heights,40.6785,-73.96041,Entire home/apt,,125,1,7,10/30/2016,0.2,1,0
6788,Great location with private access & private bath,14747290,Corinne,Brooklyn,Bushwick,40.70583,-73.91658,Private room,,65,10,4,7/13/2018,0.27,1,349
6789,Beautiful apartment in Bushwick,4306959,Arikia,Brooklyn,Bushwick,40.69986,-73.9298,Entire home/apt,,159,3,30,1/1/2018,0.54,1,0
6790,Entire One-Bedroom Apartment Near Columbia Univers,19263941,John,Manhattan,Morningside Heights,40.80442,-73.96338,Entire home/apt,,145,5,3,1/2/2016,0.06,1,0
6791,Cozy Room - Best Manhattan Location,3449749,Jeana Paola,Manhattan,Upper East Side,40.76203,-73.96183,Private room,,130,1,0,,,1,0
6792,Entire 1 Bedroom 1 Bath Central Park APT,15398647,Kathy,Manhattan,Upper West Side,40.7838,-73.97266,Entire home/apt,,255,2,47,6/8/2019,0.92,1,352
6793,Location is Everything!,25002053,Shailah,Manhattan,Upper West Side,40.78866,-73.96908,Private room,,90,2,157,6/23/2019,2.95,1,85
6794,Happy Brooklyn! Happy Konakolo!,25001808,Hanayo,Brooklyn,South Slope,40.66003,-73.98567,Entire home/apt,,150,3,73,6/18/2019,1.34,1,120
6795,Huge Classic Williamsburg 2BR loft,2503221,Shuang,Brooklyn,Williamsburg,40.72104,-73.96034,Entire home/apt,,295,2,75,6/17/2019,1.5,1,339
6796,Beautiful light cozy apartment,7355953,Carmen,Queens,Astoria,40.75741,-73.92509,Entire home/apt,,125,1,0,,,1,0
6797,Large room in Uptown Manhattan near Cloisters,25015010,Irina,Manhattan,Inwood,40.86648,-73.92754,Entire home/apt,,75,1,5,9/1/2016,0.11,1,31
6798,NEW LISTING-Great for Traveler! Duplx 3 Bdrm/2 Bth,25017014,Quincy,Brooklyn,Bedford-Stuyvesant,40.68662,-73.9479,Entire home/apt,,188,2,23,7/2/2019,3.47,1,75
6799,Spacious Studio Apartment ,11457159,Logan,Manhattan,Upper East Side,40.78335,-73.94822,Entire home/apt,,130,1,2,10/25/2017,0.09,1,0
6800,"Spacious, Cozy 1 Bedroom",7017213,Lenore,Brooklyn,Flatbush,40.64919,-73.96129,Entire home/apt,,72,1,3,6/5/2016,0.07,1,0
6801,"Cozy room in Queens, 20 min to NYC",5650180,Jessica,Queens,Elmhurst,40.74513,-73.8825,Private room,,45,3,12,4/28/2019,0.37,2,201
6802,Private Room in Prime Brooklyn Spot,2346300,Donna And Joaquin,Brooklyn,Boerum Hill,40.68983,-73.99114,Private room,,80,1,168,6/30/2019,3.11,1,272
6803,Private room on Upper East Side,1292274,Forest,Manhattan,Upper East Side,40.78343,-73.94764,Private room,,94,1,51,6/11/2019,0.93,2,88
6804,"Brooklyn.  Room,  private bath & private entrance",1113080,Audrey,Brooklyn,Sunset Park,40.64605,-74.00338,Private room,,70,22,16,6/2/2019,0.29,3,173
6805,2BD loft with 180 Manhattan view,87473,Sibin,Brooklyn,Greenpoint,40.72996,-73.95302,Entire home/apt,,150,6,1,1/3/2019,0.16,1,0
6806,Charming Brooklyn Getaway,1968327,Azza,Brooklyn,Bedford-Stuyvesant,40.69268,-73.95575,Private room,,70,2,6,5/20/2019,0.12,1,365
6807,"Quite Room, Private Bath Easy Tra!",10387090,Luis Enrique,Brooklyn,Bedford-Stuyvesant,40.6815,-73.91267,Private room,,42,30,3,1/2/2016,0.05,5,348
6808,Sunny apt in heart of The Village!,4952537,Eric,Manhattan,Greenwich Village,40.72904,-74.00116,Entire home/apt,,225,3,0,,,1,0
6809,Sunny and Spacious Brooklyn Apt,25037051,Ruth,Brooklyn,Crown Heights,40.67006,-73.9553,Private room,,70,1,10,1/2/2017,0.18,2,0
6810,Room in Down town Brooklyn Parkslop,15442902,Akim,Brooklyn,Boerum Hill,40.6832,-73.98109,Private room,,60,1,0,,,1,0
6811,Gorgeous quiet & central NYC apt!,3336995,Tamara,Manhattan,Hell's Kitchen,40.76736,-73.98383,Entire home/apt,,180,2,8,9/24/2017,0.15,1,10
6812,Beautiful & Cozy true 2 Bedroom in SoHo/Nolita,25043292,Vane,Manhattan,Nolita,40.72011,-73.99465,Entire home/apt,,150,3,2,1/2/2019,0.08,2,0
6813,Private Room - 2 blocks from Central Park,1509237,Leandro,Manhattan,East Harlem,40.7951,-73.94716,Private room,,105,2,88,5/27/2019,2.03,2,266
6814,2 bdrms in 3 Bdrm Lovely Brownstone,25052740,Nina,Brooklyn,Bedford-Stuyvesant,40.69627,-73.94371,Entire home/apt,,100,5,9,11/24/2018,0.17,3,262
6815,Williamsburg Brooklyn Apartment,3896287,Andrew And Clara,Brooklyn,Williamsburg,40.71396,-73.94021,Entire home/apt,,225,4,9,7/18/2016,0.16,1,0
6816,Bright Beautiful Spacious 1 bedroom,12708335,Sara,Brooklyn,Crown Heights,40.66948,-73.95157,Entire home/apt,,125,15,0,,,1,0
6817,"Private room, 10min to Times Square",4712698,Jonathan,Queens,Long Island City,40.74282,-73.94994,Private room,,82,2,116,5/25/2019,2.1,1,58
6818,"Classic Tenement 1BR, Center of LES",22840947,Michael,Manhattan,Chinatown,40.71633,-73.99133,Entire home/apt,,140,1,0,,,1,0
6819,2 Bedroom Apt in downtown Brooklyn,25073318,Brook,Brooklyn,Fort Greene,40.69203,-73.97088,Entire home/apt,,250,4,0,,,1,0
6820,Garden Spot in Bushwick,6439895,Bradley,Brooklyn,Bushwick,40.70253,-73.91889,Private room,,69,4,0,,,1,0
6821,Beautiful Apt in Prime NY Location,516877,Julie,Manhattan,Hell's Kitchen,40.76332,-73.9863,Entire home/apt,,275,2,0,,,1,0
6822,Bright + Stylish *THREE* Bedroom BK Apt Near Train,25093848,Faye + Amiyr,Brooklyn,Bedford-Stuyvesant,40.68175,-73.9153,Entire home/apt,,145,3,209,6/18/2019,3.79,1,219
6823,LUXURY PRIVATE MANHATTAN APARTMENT,25102191,Andy,Manhattan,East Harlem,40.80732,-73.93972,Entire home/apt,,125,7,0,,,1,0
6824,"Sunny, spacious bedroom with a view",1473630,Hillela,Brooklyn,Gowanus,40.68234,-73.98168,Private room,,100,1,2,4/25/2015,0.04,1,0
6825,Large 1 Bedroom Artist Loft in the Lower East Side,18254644,Sarah,Manhattan,Lower East Side,40.71951,-73.98449,Entire home/apt,,100,5,131,1/1/2019,2.4,1,108
6826,Artists Home with Large  Sunny Backyard+Parking,66276,Lee,Brooklyn,Williamsburg,40.7077,-73.94785,Entire home/apt,,190,6,8,1/2/2019,0.16,1,5
6827,A writer's den in Nolita ...,3568184,Brock,Manhattan,SoHo,40.72219,-73.99742,Entire home/apt,,200,1,49,7/29/2016,0.94,1,0
6828,"Modern, south facing and spacious UWS 1BR",25110559,Max,Manhattan,Upper West Side,40.77669,-73.97696,Entire home/apt,,125,31,1,4/1/2015,0.02,1,41
6829,"Spacious,  3 bedrooms, 2 bath",23439479,Victoria,Manhattan,Inwood,40.86494,-73.92672,Entire home/apt,,300,4,3,10/8/2018,0.06,2,316
6830,LARGE COZY STUDIO BEST LOCATION - PARADISIAC OASIS,25112856,Mio,Manhattan,West Village,40.73933,-74.00313,Entire home/apt,,159,4,40,6/24/2019,0.83,1,267
6831,1BD UWS Apt. 1 block from C. Park,12417880,Carson,Manhattan,Upper West Side,40.79527,-73.96486,Entire home/apt,,225,2,0,,,1,0
6832,2BR Entire Floor Apt in Flatiron,210602,Deepen,Manhattan,Chelsea,40.73932,-73.99032,Entire home/apt,,300,1,0,,,1,0
6833,"Heart of Greenwich Village - Large, Clean Space",17056215,Yaniv And Vanessa,Manhattan,Greenwich Village,40.73055,-74.0007,Entire home/apt,,180,2,28,12/31/2018,0.58,1,0
6834,1 bd apt in Astoria,25134822,Irena,Queens,Astoria,40.77029,-73.92493,Entire home/apt,,99,1,38,6/28/2019,0.74,2,263
6835,Stylish Apartment with Spacious Private Room,24943630,Sarah,Manhattan,Greenwich Village,40.73222,-73.9969,Private room,,120,4,19,7/5/2019,0.35,1,339
6836,Large Bedroom by Grand Central Station in NYC,21817218,Jason,Manhattan,Midtown,40.75163,-73.9722,Private room,,90,7,27,8/9/2018,0.5,1,35
6837,Big & Sunny room w Private Entrance,2470606,Ben,Brooklyn,Greenpoint,40.72418,-73.94757,Private room,,59,1,2,6/2/2015,0.04,1,0
6838,VICTORIAN SUNFILLED APT DREAM VIEW,1705071,Nika,Queens,Long Island City,40.74741,-73.94712,Private room,,95,1,141,6/24/2019,2.77,2,331
6839,Cozy Brownstone Room Near NYU Hospital,24982697,Fidelia,Brooklyn,Sunset Park,40.64132,-74.01767,Private room,,65,30,11,4/12/2019,0.2,2,312
6840,"Sunnyside, New York - Stay and get connected",25145883,Sp,Queens,Sunnyside,40.74461,-73.91514,Private room,,40,2,2,6/29/2019,2,1,5
6841,Spend the Fall in NoLita!,3339901,Meghan,Manhattan,Nolita,40.72285,-73.99409,Entire home/apt,,250,4,7,10/21/2015,0.14,1,0
6842,Cozy Quiet Room in Williamsburgs,17928071,Mabel,Brooklyn,Williamsburg,40.71009,-73.9575,Private room,,85,3,23,4/1/2019,0.42,2,280
6843,Spacious Rm in 3br apt-private bath,7920086,Susan,Manhattan,East Harlem,40.78615,-73.94295,Private room,,71,30,19,10/28/2018,0.35,3,0
6844,Peaceful 1BD in Historic W. Harlem,14813211,Vriana,Manhattan,Harlem,40.81964,-73.9468,Entire home/apt,,109,4,0,,,1,0
6845,"166 Reviews, Single-Family House",3417940,Jeremy,Brooklyn,Gowanus,40.67308,-73.99333,Entire home/apt,,262,2,166,9/29/2017,3.06,1,0
6846,Bedford Loft in Williamsburg,6438118,Zachary,Brooklyn,Williamsburg,40.71279,-73.9641,Private room,,55,3,0,,,1,0
6847,"Very spacious, clean Manhattan Apt",25168328,Daniel,Manhattan,Harlem,40.82389,-73.94033,Entire home/apt,,70,1,1,2/1/2016,0.02,1,0
6848,NYC GORGEOUS LIGHT SPACE RIVER VIEW,25168888,Svjetlana,Manhattan,Harlem,40.82191,-73.95736,Entire home/apt,,109,14,3,1/3/2015,0.05,3,0
6849,20 min from Union Square,25175433,Pablo,Queens,Ridgewood,40.69958,-73.90825,Private room,,40,3,0,,,1,0
6850,Cute 1 Bedroom in 2BR Apartment,9845403,Lenur,Queens,Long Island City,40.75358,-73.92336,Private room,,70,1,0,,,1,0
6851,Room available for long term,14035846,Monica,Queens,Sunnyside,40.74383,-73.92077,Private room,,50,15,2,8/12/2018,0.17,1,341
6852,Gorgeous Loft apt. Prime Location with Rooftop,14289427,Francesca,Manhattan,Chinatown,40.71579,-73.99253,Private room,,120,5,8,11/21/2018,0.15,3,318
6853,Summer sublet sunny room in Harlem,10450922,Prerna,Manhattan,Harlem,40.8076,-73.95274,Private room,,80,50,0,,,1,0
6854,Brooklyn Heights  ,6285979,Alexandra,Brooklyn,Brooklyn Heights,40.6945,-73.99543,Entire home/apt,,200,3,6,11/10/2016,0.11,1,0
6855,HOME SWEET HOME - VISIT NYC!,25230336,Juan Carlos,Brooklyn,Clinton Hill,40.68382,-73.96292,Entire home/apt,,300,3,0,,,1,0
6856,"Bright, Spacious 1BR - West Village",16460889,Daniel,Manhattan,Greenwich Village,40.72969,-73.9995,Entire home/apt,,175,1,4,1/3/2016,0.08,1,0
6857,BIG ROOM IN BROOKLYN!! ,5564276,Monica,Brooklyn,Bedford-Stuyvesant,40.68998,-73.95646,Private room,,75,1,0,,,1,0
6858,"Large One Bedroom Apartment, 15 mins to Manhattan",557918,Bill & Regina,Queens,Sunnyside,40.74628,-73.9196,Entire home/apt,,119,6,15,3/9/2019,0.46,1,1
6859,CLOSE- EAST SIDE HOSPITALS-  2 Bedroom Apt 5C,25237492,Juliana,Manhattan,Upper East Side,40.76067,-73.9602,Entire home/apt,,165,30,11,3/31/2018,0.21,34,274
6860,Boutique Retreat,25249481,Jacqueline,Bronx,Mount Hope,40.85062,-73.90251,Private room,,40,14,5,6/17/2017,0.13,1,322
6861,TOWNHOUSE NEAR RSD PARK -  Spacious 2 Bedroom Apt,25237492,Juliana,Manhattan,Upper West Side,40.78286,-73.98339,Entire home/apt,,265,30,14,11/4/2018,0.26,34,274
6862,*DYLAN* Exquisite 1 BR & Terrace - Contemporary,25237492,Juliana,Manhattan,Upper West Side,40.78141,-73.98445,Entire home/apt,,130,30,12,4/18/2019,0.23,34,292
6863,"Clean and Serene Kensington, Bk",13772270,Mariano,Brooklyn,Kensington,40.6461,-73.97332,Entire home/apt,,85,2,3,5/10/2017,0.08,1,351
6864,Beautiful sunny apt near prospect park!,25263341,Dana,Brooklyn,Crown Heights,40.66412,-73.95591,Private room,,70,15,1,12/31/2015,0.02,1,314
6865,Gorgeous Waterfront Studio: Williamsburg,551139,Owen,Brooklyn,Williamsburg,40.70666,-73.96526,Entire home/apt,,210,3,31,5/13/2019,0.57,1,0
6866,New Year's Eve in the Heart of NYC!,25264954,Andrew,Manhattan,Hell's Kitchen,40.7583,-73.99001,Private room,,225,1,0,,,1,0
6867,Funky and Fresh room in Brooklyn ,25037051,Ruth,Brooklyn,Crown Heights,40.66915,-73.95339,Private room,,46,1,8,8/28/2017,0.15,2,333
6868,Cosy room in spacious apartment,25268374,Gabriela,Brooklyn,Crown Heights,40.6741,-73.94496,Private room,,75,1,0,,,1,0
6869,Huge Brooklyn Oasis only 1 block from subway!,25268900,Jessica,Brooklyn,Bushwick,40.70083,-73.91679,Entire home/apt,,126,3,98,6/13/2019,1.95,1,180
6870,Modern Minimalism w/ Private Bath,25242899,Dave,Brooklyn,Sunset Park,40.65616,-74.00091,Private room,,88,4,42,7/1/2019,0.82,1,261
6871,Beautiful and Spacious 2 bedroom West Harlem Apt.,25266756,Antoinette,Manhattan,Harlem,40.80739,-73.95159,Entire home/apt,,150,5,14,6/20/2019,0.26,1,66
6872,Cozy Downtown Brooklyn Apartment,25273326,Dennis,Brooklyn,Fort Greene,40.68528,-73.97528,Entire home/apt,,175,1,89,4/28/2019,1.77,1,0
6873,"1BR in Murray Hill, E 26th & 2nd Ave (30 DAYS MIN)",23772724,Elem,Manhattan,Hell's Kitchen,40.76102,-73.98882,Entire home/apt,,380,30,5,4/18/2017,0.11,15,332
6874,2 Stops to MANHATTAN!,25276263,Charles,Brooklyn,Boerum Hill,40.6881,-73.98699,Entire home/apt,,500,6,29,9/2/2016,0.53,1,89
6875,Oasis in Prime LES,6230230,John,Manhattan,Lower East Side,40.71806,-73.98493,Private room,,110,20,13,1/2/2016,0.25,3,0
6876,New Year's in the East Village,24127267,Arnell,Manhattan,East Village,40.73037,-73.98268,Entire home/apt,,175,1,1,1/2/2015,0.02,1,0
6877,Great location in South Manhattan,236659,Justin,Manhattan,Financial District,40.7082,-74.00139,Private room,,78,1,1,2/20/2015,0.02,1,0
6878,Luxurious 2BD Perfect for Kids,4422415,Damien,Manhattan,Upper East Side,40.77716,-73.94779,Entire home/apt,,250,2,11,4/26/2019,0.21,2,358
6879,Central Park Suite,81335,Evan,Manhattan,Upper West Side,40.78334,-73.97452,Entire home/apt,,125,1,171,7/3/2019,4.63,3,121
6880,Beautiful 1 br Williamsburg apt,4445005,Jamaal,Brooklyn,Williamsburg,40.71281,-73.9657,Entire home/apt,,200,2,3,8/30/2018,0.1,1,16
6881,Labor Day Special: Brooklyn Base Camp,1780076,Ashleigh,Brooklyn,Crown Heights,40.6763,-73.95764,Private room,,55,3,0,,,2,0
6882,Lovely room!- 15 min to Manhattan!!,1633246,Natasha,Brooklyn,Bedford-Stuyvesant,40.68679,-73.92327,Private room,,65,2,9,5/20/2015,0.17,4,280
6883,Stylish & New Chelsea Apartment,22338025,Kerrie,Manhattan,Chelsea,40.74244,-73.99854,Entire home/apt,,175,1,0,,,1,0
6884,"*OASIS* 2 BEDROOM, 2 BATH & Garden! Great UWS Area",25237492,Juliana,Manhattan,Upper West Side,40.7813,-73.98319,Entire home/apt,,205,30,20,12/27/2018,0.38,34,274
6885,Beautiful Apartment near subway,25365628,Brian,Queens,Woodside,40.74468,-73.91102,Entire home/apt,,90,1,0,,,1,0
6886,"Beautiful Guest Room in Fort Greene, Brooklyn",23069182,Richard,Brooklyn,Fort Greene,40.68346,-73.97214,Private room,,100,1,55,6/23/2019,4.16,1,342
6887,Great Room with Good Amenities,331579,Marlon,Brooklyn,Bedford-Stuyvesant,40.68744,-73.92322,Private room,,60,3,29,6/4/2019,0.6,2,232
6888,L♥vely 1BR! Times Square BROADWAY Theatre District,22210080,Kyle,Manhattan,Hell's Kitchen,40.76175,-73.9892,Private room,,99,1,318,6/24/2019,5.78,1,0
6889,Panoramic City Views in Lux bldg,7537442,Loydeen,Manhattan,East Harlem,40.80315,-73.94017,Private room,,50,7,25,6/28/2019,0.5,1,151
6890,"All-Inclusive Room, Super Cute Apt",331579,Marlon,Brooklyn,Bedford-Stuyvesant,40.68939,-73.92331,Private room,,50,3,32,6/23/2019,0.72,2,329
6891,Cozy & Clean #2,23533897,Fatou,Brooklyn,Crown Heights,40.67419,-73.95251,Private room,,68,1,91,6/17/2019,1.78,7,329
6892,"Huge, Cozy 1BR in the ❤️️ of Harlem",25003560,Adam,Manhattan,Harlem,40.81405,-73.95285,Entire home/apt,,125,1,31,9/3/2018,0.57,1,188
6893,Charming One Bedroom in Chelsea,25394253,Pete,Manhattan,Chelsea,40.74141,-73.99996,Entire home/apt,,175,1,1,2/20/2015,0.02,1,0
6894,This cozy space is a newly renovate,25399747,Ron,Brooklyn,Bedford-Stuyvesant,40.68168,-73.9368,Entire home/apt,,100,3,91,1/1/2019,2,1,160
6895,Quiet queen bed in bustling Greenwich Village,15824660,Jack,Manhattan,Greenwich Village,40.7282,-74.00165,Private room,,85,2,0,,,1,0
6896,Cozy & Quaint,25401356,Krystle,Manhattan,East Harlem,40.79717,-73.93298,Entire home/apt,,125,2,7,1/9/2016,0.15,1,0
6897,Brooklyn Beauty! Private Bed+Bath,5037211,Mariana,Brooklyn,Greenpoint,40.72023,-73.9479,Private room,,118,3,1,9/29/2015,0.02,2,188
6898,Luxury in Best Location,25404246,Stacey,Manhattan,Nolita,40.72139,-73.99688,Entire home/apt,,346,198,163,11/21/2018,2.96,1,0
6899,1 bd Artist Retreat in Brooklyn,25295888,Alanna,Brooklyn,Bedford-Stuyvesant,40.67917,-73.92565,Private room,,52,2,16,9/30/2017,0.37,1,0
6900,Mid Century Modern 2 Bedroom Apt,864735,Jason,Queens,Astoria,40.75782,-73.92128,Entire home/apt,,107,30,15,12/4/2018,0.29,8,311
6901,Nice studio in Midtown Manhattan,8183266,Zahid,Manhattan,Midtown,40.75462,-73.96869,Entire home/apt,,99,2,168,6/16/2019,3.1,1,46
6902,Big & bright 2 bedroom apartment! Lower East Side!,22087408,Dominik,Manhattan,Lower East Side,40.71763,-73.98359,Entire home/apt,,150,1,17,7/7/2019,0.36,3,264
6903,PenthousPrivate room & bath w roof,2439175,Gary,Brooklyn,Bedford-Stuyvesant,40.69147,-73.94113,Private room,,65,4,180,6/17/2019,3.37,1,6
6904,Big & bright apt in Harlem!,25439443,Joel,Manhattan,Harlem,40.81831,-73.93833,Entire home/apt,,85,30,5,7/31/2017,0.11,1,7
6905,Cozy Apt.Near Park/Museums & Subway,15297517,Christopher,Manhattan,Upper East Side,40.78096,-73.9475,Entire home/apt,,155,4,9,10/27/2015,0.19,1,0
6906,Perfectly Located Brooklyn Studio,25468442,Alexandra,Brooklyn,Prospect Heights,40.67273,-73.96361,Entire home/apt,,125,2,34,12/26/2017,0.64,1,0
6907,A lovely room in heart of NY,519554,Umut&Deniz,Manhattan,Lower East Side,40.72007,-73.98775,Private room,,59,3,36,6/18/2019,0.8,5,349
6908,Huge Room  15 min to Grand Central,25473311,Michael,Queens,Sunnyside,40.73835,-73.92636,Private room,,70,7,56,1/1/2019,1.18,2,90
6909,Quirky BrwnStone Studio in Harlem ,25476493,Taylor,Manhattan,Harlem,40.80607,-73.94805,Entire home/apt,,115,1,0,,,1,0
6910,Beautiful full-service UWS studio ,3834614,Jilly,Manhattan,Upper West Side,40.79432,-73.97637,Private room,,175,10,0,,,1,0
6911,Stylish Apartment in post-war walk-up Building,25494876,Vivienne,Manhattan,Lower East Side,40.71959,-73.9919,Entire home/apt,,149,2,14,9/9/2018,0.28,1,0
6912,Open Room for 12 Days this February,25412718,Benjamin,Brooklyn,Crown Heights,40.66948,-73.93638,Private room,,50,5,0,,,1,0
6913,Your Home with View in Greenpoint!,1556712,Margrethe,Brooklyn,Greenpoint,40.73208,-73.95653,Entire home/apt,,190,3,32,6/4/2019,0.6,1,265
6914,HUGE 1 BED@TIMES SQUARE@BRAND NEW!!,914838,Lior,Manhattan,Hell's Kitchen,40.76537,-73.99438,Entire home/apt,,80,20,5,1/17/2017,0.15,7,346
6915,Greenpoint apartment,19965673,Amanda,Brooklyn,Greenpoint,40.72086,-73.94609,Private room,,75,1,0,,,1,0
6916,"Quiet Room, Near Columbia University & Subway",8253604,James & Shaun,Manhattan,Harlem,40.81561,-73.95264,Private room,,89,1,203,6/28/2019,3.89,2,162
6917,Amazing Central Park view,25517905,Andreias,Manhattan,Upper West Side,40.79751,-73.96168,Private room,,123,3,176,6/21/2019,3.39,3,253
6918,Best Location on the UWS!!,10795846,Sasha,Manhattan,Upper West Side,40.78936,-73.97502,Private room,,78,2,171,1/14/2018,3.43,2,0
6919,Sun-Filled Apartment 1 Minute From Subway,25379501,Rivka,Brooklyn,Crown Heights,40.66585,-73.94993,Private room,,62,1,44,6/23/2019,1.26,1,77
6920,South Slope Pied-A-Terre Studio,7463662,Nick,Brooklyn,South Slope,40.66599,-73.9869,Entire home/apt,,120,2,149,6/14/2018,2.76,1,0
6921,Contemporary & Clean 1 bdrm Apartment(Lower Level),25537637,Emmanuel,Queens,Bayside,40.7583,-73.77232,Entire home/apt,,80,2,123,7/5/2019,4.69,1,108
6922,"Modern, Bright, One Bedroom",8951256,Solomon,Manhattan,Lower East Side,40.71316,-73.9916,Entire home/apt,,180,3,38,6/7/2019,0.81,1,36
6923,A Romantic Loft plus terrace  Heart of Brooklyn,90860,Amy,Brooklyn,Bedford-Stuyvesant,40.68306,-73.93141,Entire home/apt,,145,2,222,6/26/2019,4.15,4,109
6924,Beautiful Central Park View,25517905,Andreias,Manhattan,Upper West Side,40.7962,-73.96156,Private room,,99,1,277,6/23/2019,5.44,3,294
6925,Huge Bright 1BR+Office in Downtown Manhattan NYC!,1649951,Sameer,Manhattan,Lower East Side,40.72091,-73.98475,Entire home/apt,,300,3,57,6/23/2019,1.12,1,168
6926,East Village Floor Thru plus Garden,7245581,Michael,Manhattan,East Village,40.72251,-73.97677,Entire home/apt,,87,100,5,1/2/2019,0.1,19,7
6927,"DOMINIQUE'S  NYC  cosy,2 bedrm crashPad*Stay here*",310670,Vie,Bronx,Eastchester,40.87829,-73.83471,Entire home/apt,,155,2,11,5/19/2019,0.29,13,348
6928,Dominiq's NY cosy 3bedrm crashpad*metro*wifi*$$ale,310670,Vie,Bronx,Eastchester,40.88017,-73.83484,Entire home/apt,,250,1,15,6/2/2019,1.08,13,357
6929,Stylish and cozy SOHO loft bedroom,14854832,Alix,Manhattan,SoHo,40.72101,-74.00189,Private room,,130,1,9,12/16/2016,0.17,1,0
6930,cozy room 5 minutes to manhattan,25602663,Mizo,Queens,Long Island City,40.75202,-73.93588,Shared room,,65,4,1,10/16/2018,0.11,2,1
6931,Funky Union Square Apartment,2007148,Chris,Manhattan,Gramercy,40.73721,-73.98887,Entire home/apt,,156,3,4,1/3/2017,0.08,1,0
6932,"Bronx, 1Bdrm in 3Bdrm Apt.",25605654,Cindy,Bronx,Morris Park,40.85465,-73.85669,Private room,,50,1,2,2/23/2015,0.04,1,0
6933,Beautiful One Bedroom Apartment,25605887,Cindy,Manhattan,Hell's Kitchen,40.7666,-73.98475,Entire home/apt,,450,1,0,,,1,0
6934,private room avail in lovely BK apt,25082897,Fen,Brooklyn,Bushwick,40.70516,-73.91609,Private room,,40,1,0,,,1,0
6935,Private Cozy Bright Brooklyn Studio,248490,Leecia,Brooklyn,Bedford-Stuyvesant,40.68045,-73.93796,Entire home/apt,,95,3,51,7/2/2019,1.19,2,194
6936,Room in Jackson Heights (Queens),23345098,Jorge,Queens,East Elmhurst,40.75703,-73.87667,Private room,,45,7,30,4/14/2019,0.56,1,115
6937,Hostal : FULL SIZE BUNK BED ( Bottom on floor),2793778,Fernando,Queens,Forest Hills,40.71543,-73.83564,Shared room,,60,4,45,4/12/2019,0.87,5,0
6938,GREAT ROOM IN  HELL'SKITCHEN!!,9271872,Anthony,Manhattan,Hell's Kitchen,40.76543,-73.99154,Private room,,100,4,117,6/28/2019,2.44,2,162
6939,Canal Street bedroom ,693815,Jimmy,Manhattan,Chinatown,40.71652,-73.99801,Private room,,75,1,0,,,1,0
6940,Sunny Room near Central Park,12342828,Marco,Manhattan,East Harlem,40.79399,-73.94255,Private room,,84,4,99,6/28/2019,2.06,2,11
6941,Charming private Studio,25641892,Tonia,Staten Island,West Brighton,40.63182,-74.124,Entire home/apt,,70,2,196,6/21/2019,3.63,1,231
6942,a cozy room in manhattan!,519554,Umut&Deniz,Manhattan,Lower East Side,40.71904,-73.98962,Private room,,69,2,80,6/24/2019,1.49,5,331
6943,"Huge artist loft, heart of W'Burg!",373019,Leah,Brooklyn,Williamsburg,40.71189,-73.94632,Private room,,62,30,3,9/29/2015,0.06,1,319
6944,Lower East Side Gem,10350245,Brian,Manhattan,Lower East Side,40.72076,-73.98925,Entire home/apt,,200,1,1,1/18/2015,0.02,1,0
